Coca-Cola,43146,BrandFinance,2007
Microsoft,37074,BrandFinance,2007
Citi,35148,BrandFinance,2007
Walmart,34898,BrandFinance,2007
IBM,34074,BrandFinance,2007
HSBC,33495,BrandFinance,2007
GE,31850,BrandFinance,2007
Bank of America,31426,BrandFinance,2007
HP,29445,BrandFinance,2007
Marlboro,26990,BrandFinance,2007
Vodafone,26752,BrandFinance,2007
Gillette,26649,BrandFinance,2007
Intel,25095,BrandFinance,2007
L'Oréal,25050,BrandFinance,2007
Google,24687,BrandFinance,2007
Toyota,24534,BrandFinance,2007
Nokia,24280,BrandFinance,2007
McDonald's,24083,BrandFinance,2007
Pepsi,23948,BrandFinance,2007
Dell,23621,BrandFinance,2007
Disney,23145,BrandFinance,2007
Mercedes-Benz,22551,BrandFinance,2007
Verizon,19910,BrandFinance,2007
American Express,18109,BrandFinance,2007
BMW,17860,BrandFinance,2007
Nike,17818,BrandFinance,2007
Santander,17063,BrandFinance,2007
Cisco,16782,BrandFinance,2007
TimeWarner,16734,BrandFinance,2007
Samsung Group,16537,BrandFinance,2007
Budweiser,16196,BrandFinance,2007
Tesco,16136,BrandFinance,2007
TIM Brazil,16136,BrandFinance,2007
Shell,15621,BrandFinance,2007
The Home Depot,15360,BrandFinance,2007
UBS,15137,BrandFinance,2007
AIG,14851,BrandFinance,2007
AXA,14389,BrandFinance,2007
Wells Fargo,14277,BrandFinance,2007
UPS,14168,BrandFinance,2007
Allianz,13862,BrandFinance,2007
ExxonMobil,13148,BrandFinance,2007
Generali,12895,BrandFinance,2007
Apple,12809,BrandFinance,2007
News Corp,12523,BrandFinance,2007
BP,12376,BrandFinance,2007
BNP Paribas,12278,BrandFinance,2007
Barclays,12182,BrandFinance,2007
Chase,12082,BrandFinance,2007
Gucci,11657,BrandFinance,2007
Credit Suisse,11519,BrandFinance,2007
China Mobile,11018,BrandFinance,2007
Cingular,10851,BrandFinance,2007
Target,10841,BrandFinance,2007
Honda,10793,BrandFinance,2007
Comcast,10777,BrandFinance,2007
Orange,10721,BrandFinance,2007
Sony,10622,BrandFinance,2007
Ford,10559,BrandFinance,2007
Carrefour,10512,BrandFinance,2007
Siemens,10363,BrandFinance,2007
Motorola,10234,BrandFinance,2007
ING (Group),10178,BrandFinance,2007
AT&T,10023,BrandFinance,2007
Chevrolet,9936,BrandFinance,2007
Kraft,9904,BrandFinance,2007
Kellogg's,9847,BrandFinance,2007
Lowe's,9656,BrandFinance,2007
Avon,9627,BrandFinance,2007
 Auchan,9487,BrandFinance,2007
ABN Amro,9434,BrandFinance,2007
Wachovia,9430,BrandFinance,2007
FedEx,9227,BrandFinance,2007
Hitachi Group,9171,BrandFinance,2007
Nescafé,9002,BrandFinance,2007
IKEA,8917,BrandFinance,2007
Merrill Lynch (2011),8835,BrandFinance,2007
Morgan Stanley,8732,BrandFinance,2007
Goldman Sachs,8712,BrandFinance,2007
Walgreens,8701,BrandFinance,2007
Chrysler,8689,BrandFinance,2007
T (Deutsche Telekom),8475,BrandFinance,2007
Oracle,8387,BrandFinance,2007
Stella Artois,8378,BrandFinance,2007
Heineken,8312,BrandFinance,2007
Deutsche Bank,8240,BrandFinance,2007
Canon,8186,BrandFinance,2007
Philips,8169,BrandFinance,2007
Chevron,8085,BrandFinance,2007
NTT Docomo,8061,BrandFinance,2007
Prudential (US),7948,BrandFinance,2007
Prudential (UK),7948,BrandFinance,2007
GAP,7889,BrandFinance,2007
Société Générale,7856,BrandFinance,2007
PwC,7850,BrandFinance,2007
Volkswagen,7827,BrandFinance,2007
Benson and Hedges,7822,BrandFinance,2007
BBVA,7553,BrandFinance,2007
Yahoo,7445,BrandFinance,2007
Tata Group,7386,BrandFinance,2007
Coca-Cola,45441,BrandFinance,2008
Microsoft,44501,BrandFinance,2008
Google,43084,BrandFinance,2008
Walmart,39001,BrandFinance,2008
IBM,37949,BrandFinance,2008
GE,36122,BrandFinance,2008
HSBC,35456,BrandFinance,2008
HP,34109,BrandFinance,2008
Nokia,33116,BrandFinance,2008
Citi,27817,BrandFinance,2008
Vodafone,26594,BrandFinance,2008
Toyota,26056,BrandFinance,2008
L'Oréal,25797,BrandFinance,2008
Intel,25527,BrandFinance,2008
Bank of America,25417,BrandFinance,2008
Pepsi,24813,BrandFinance,2008
Dell,24672,BrandFinance,2008
AT&T,24601,BrandFinance,2008
Verizon,24388,BrandFinance,2008
Marlboro,4869,BrandFinance,2008
McDonald's,21812,BrandFinance,2008
Nike,21807,BrandFinance,2008
Apple,21779,BrandFinance,2008
Santander,20718,BrandFinance,2008
Tesco,20472,BrandFinance,2008
Mercedes-Benz,20160,BrandFinance,2008
Disney,19710,BrandFinance,2008
Orange,18347,BrandFinance,2008
Cisco,18113,BrandFinance,2008
BMW,17215,BrandFinance,2008
Budweiser,17160,BrandFinance,2008
American Express,16183,BrandFinance,2008
Shell,15540,BrandFinance,2008
The Home Depot,15398,BrandFinance,2008
AXA,15236,BrandFinance,2008
AIG,15128,BrandFinance,2008
UPS,14840,BrandFinance,2008
Chase,14798,BrandFinance,2008
BNP Paribas,14637,BrandFinance,2008
Time Warner Cable,14229,BrandFinance,2008
Allianz,14138,BrandFinance,2008
Samsung Group,13971,BrandFinance,2008
China Mobile,13867,BrandFinance,2008
Honda,13649,BrandFinance,2008
Target,13419,BrandFinance,2008
Wells Fargo,13130,BrandFinance,2008
ExxonMobil,12619,BrandFinance,2008
Goldman Sachs,12520,BrandFinance,2008
Carrefour,12404,BrandFinance,2008
Sony,12383,BrandFinance,2008
